,AWSSI,TempScore,SnowScore,Length,start_scale,end_scale,Total_Admits,male,female,white,black,nvr_mrrd,married,separated,divcd_wdw,No_HS,HS_not_grad,HS_grad,Post_HS,BS_or_more,full_time,part_time,unemployed,not_in_wrkfrc,civilian,veteran
AWSSI,1.0,0.822480866307915,0.9748552751831348,0.3896339356767229,0.2473438178067713,0.226870717428727,-0.34460772061179684,-0.34128549492242877,-0.3068091468346425,-0.33971366748373294,-0.27641029771287134,-0.37372590536614486,-0.30741527114355405,-0.2546308116799647,-0.2506621541534349,-0.22263008010122562,0.024689482992229405,-0.35341353804415293,-0.2173416340403354,-0.2044300890455847,-0.3208406780076788,-0.30543053469118614,-0.04455843726663207,-0.258600707114993,-0.361701123823501,-0.04558497205080629
TempScore,0.822480866307915,1.0,0.6750506324139584,0.42667774247675017,0.18277447949416814,0.3428644822388245,-0.3080104543173048,-0.29428996379128564,-0.3011952078373212,-0.2974143224678535,-0.16642147680552388,-0.35102554148895004,-0.24489446463588113,-0.11230453493075457,-0.22030014499879016,-0.2071476669056778,0.10523290382714089,-0.2616700715766222,-0.3111691439376841,-0.2777552056565086,-0.26694493978129497,-0.26357144489263096,-0.16758946488476992,-0.14404406646578177,-0.3369973440193236,0.08149243050376694
SnowScore,0.9748552751831348,0.6750506324139584,1.0,0.3382257436266302,0.2492189247904352,0.15994431337631176,-0.32631391628509554,-0.32738006279134013,-0.2799560764152675,-0.3241172258198803,-0.2933272615888974,-0.3472303697416639,-0.3027995081942369,-0.2862791409816784,-0.23882145487669695,-0.20761434564750997,-0.009203341274615305,-0.35589080724124184,-0.16000175136519523,-0.15634516109607124,-0.3115745436427183,-0.2929079616321589,0.00786141774329337,-0.27899366137753134,-0.33712913157000773,-0.09105420723407832
Length,0.3896339356767229,0.42667774247675017,0.3382257436266302,1.0,0.6440719947488748,0.5723385854087438,-0.4255853690928049,-0.4097050999562076,-0.4086838637459138,-0.4256994444776919,-0.18781479610641857,-0.44345506849915056,-0.3354523141785958,-0.2814408405848348,-0.3849988727957027,-0.26851817681658435,0.030955059384224656,-0.38605052059271877,-0.3135749467332541,-0.25807030151467125,-0.39812078138879614,-0.44310439386442657,-0.16171489876888848,-0.24054021814914625,-0.43662159811411433,-0.14766578512071896
start_scale,0.2473438178067713,0.18277447949416814,0.2492189247904352,0.6440719947488748,1.0,-0.25865725994053645,-0.3039380814259264,-0.36176170093510474,-0.11386904097666845,-0.29763133354102117,-0.4330827567309335,-0.29258416082289224,-0.13657056970636078,-0.415696856084658,-0.3831527965989855,0.044196970842688976,-0.3278335609357289,-0.42063295392848105,0.0877082112641713,0.15149732484251024,-0.1783034769354434,-0.21574358555193124,0.19887367687019541,-0.4572647287625424,-0.2969336204086117,-0.23854600081297192
end_scale,0.226870717428727,0.3428644822388245,0.15994431337631176,0.5723385854087438,-0.25865725994053645,1.0,-0.21160164367282538,-0.12956359668759299,-0.39400686534817647,-0.21850632189087027,0.22708506200193315,-0.2463378672631629,-0.27719749314684866,0.09022046106792163,-0.07543493608338096,-0.3864524657244902,0.39051578294239514,-0.036585411326310116,-0.48999110772422577,-0.48828175829769727,-0.3115965841636697,-0.32826563931913905,-0.41739364835809606,0.18642764795284134,-0.233046336494578,0.06924667943455654
Total_Admits,-0.34460772061179684,-0.3080104543173048,-0.32631391628509554,-0.4255853690928049,-0.3039380814259264,-0.21160164367282538,1.0,0.9856545023854915,0.9008324020048963,0.9967702572994315,0.6193603798967275,0.9760876490997911,0.9450798883508368,0.778161211350255,0.9155611520085686,0.6652882651058665,0.029207292322143558,0.9054241691203972,0.5633168735386943,0.4908986640461118,0.8495896758538208,0.9538128182529501,0.29780623453783256,0.6692410141875385,0.996106577988102,0.6111115037122867
male,-0.34128549492242877,-0.29428996379128564,-0.32738006279134013,-0.4097050999562076,-0.36176170093510474,-0.12956359668759299,0.9856545023854915,1.0,0.814635720758533,0.9805015435000003,0.725139082249956,0.9419955894508129,0.8910790728053234,0.8637837663634672,0.9577082459054442,0.5434710595910363,0.18795597504339512,0.941427298579543,0.42513937848944755,0.34109307901377844,0.7683104215470461,0.9167244037368304,0.1897454525754177,0.7663949421793947,0.9730041918325303,0.6814663653717118
female,-0.3068091468346425,-0.3011952078373212,-0.2799560764152675,-0.4086838637459138,-0.11386904097666845,-0.39400686534817647,0.9008324020048963,0.814635720758533,1.0,0.902957076308628,0.2636811699762075,0.9313867947534205,0.9553552794897185,0.4521468589374283,0.6820273636491861,0.8883138846918928,-0.38305994687289086,0.6906693286920631,0.8412979191685889,0.8092108291708213,0.943992223401009,0.9192744907403654,0.5329691543699365,0.3294709972781867,0.9200553026774184,0.34643123616589383
white,-0.33971366748373294,-0.2974143224678535,-0.3241172258198803,-0.4256994444776919,-0.29763133354102117,-0.21850632189087027,0.9967702572994315,0.9805015435000003,0.902957076308628,1.0,0.5864353752161562,0.9656854911125748,0.953331802273846,0.7805813597822668,0.9177110822438651,0.6723157428466575,0.022646557607117142,0.8926349911426005,0.5695825000492205,0.4960064329898703,0.848287393557999,0.96482885209725,0.32131945313531024,0.6492427945121826,0.9904255802320331,0.6311556362856234
black,-0.27641029771287134,-0.16642147680552388,-0.2933272615888974,-0.18781479610641857,-0.4330827567309335,0.22708506200193315,0.6193603798967275,0.725139082249956,0.2636811699762075,0.5864353752161562,1.0,0.5707025322727266,0.38453675533522724,0.8453753740392438,0.7419614833787787,-0.06753033485618681,0.681640093428619,0.8288997945665113,-0.23157289600214376,-0.2940855153552559,0.29937552873819456,0.4510964358965221,-0.42542286778432487,0.9540943488155398,0.5947340494257162,0.5779829747010656
nvr_mrrd,-0.37372590536614486,-0.35102554148895004,-0.3472303697416639,-0.44345506849915056,-0.29258416082289224,-0.2463378672631629,0.9760876490997911,0.9419955894508129,0.9313867947534205,0.9656854911125748,0.5707025322727266,1.0,0.9272878566901345,0.66025469633909,0.8197750960245185,0.7338257660216853,-0.10069629005839492,0.8947203858263565,0.6285421310503485,0.5798094205836432,0.9172786230297572,0.9196102920658192,0.27302288131917835,0.6242218716190677,0.9884168043471628,0.4517750233590399
married,-0.30741527114355405,-0.24489446463588113,-0.3027995081942369,-0.3354523141785958,-0.13657056970636078,-0.27719749314684866,0.9450798883508368,0.8910790728053234,0.9553552794897185,0.953331802273846,0.38453675533522724,0.9272878566901345,1.0,0.637650479379431,0.7923015544148103,0.8167025235708834,-0.2050869029307207,0.7665586277622817,0.7160261101218846,0.6791109145365752,0.8982154142238632,0.9514540381503088,0.4494536457602225,0.46921370247290517,0.9445797723024109,0.5485629275074486
separated,-0.2546308116799647,-0.11230453493075457,-0.2862791409816784,-0.2814408405848348,-0.415696856084658,0.09022046106792163,0.778161211350255,0.8637837663634672,0.4521468589374283,0.7805813597822668,0.8453753740392438,0.66025469633909,0.637650479379431,1.0,0.9237280203141947,0.14442253679876485,0.5931621448804459,0.8573839341717896,-0.03396482449277915,-0.11922840934798057,0.41707857636955403,0.6966542440308111,-0.1110994870497177,0.8815307414429289,0.7325045665763331,0.8578616900841148
divcd_wdw,-0.2506621541534349,-0.22030014499879016,-0.23882145487669695,-0.3849988727957027,-0.3831527965989855,-0.07543493608338096,0.9155611520085686,0.9577082459054442,0.6820273636491861,0.9177110822438651,0.7419614833787787,0.8197750960245185,0.7923015544148103,0.9237280203141947,1.0,0.3560625463685724,0.37779253959009057,0.8707710675806989,0.2764572459501802,0.1602315601112759,0.5957711456797838,0.8639442541052361,0.17659842979257828,0.7668712731914472,0.8839442959042019,0.8114894665909341
No_HS,-0.22263008010122562,-0.2071476669056778,-0.20761434564750997,-0.26851817681658435,0.044196970842688976,-0.3864524657244902,0.6652882651058665,0.5434710595910363,0.8883138846918928,0.6723157428466575,-0.06753033485618681,0.7338257660216853,0.8167025235708834,0.14442253679876485,0.3560625463685724,1.0,-0.7034571603358979,0.4299060973463759,0.9025031075719889,0.9155439699410981,0.8456004842484132,0.6876760200845791,0.6299542949727371,0.010772250641383173,0.6989379073405451,0.08092315784816492
HS_not_grad,0.024689482992229405,0.10523290382714089,-0.009203341274615305,0.030955059384224656,-0.3278335609357289,0.39051578294239514,0.029207292322143558,0.18795597504339512,-0.38305994687289086,0.022646557607117142,0.681640093428619,-0.10069629005839492,-0.2050869029307207,0.5931621448804459,0.37779253959009057,-0.7034571603358979,1.0,0.28743605954199614,-0.7595709889670033,-0.8283458166198453,-0.3688772809118502,-0.04766041335561682,-0.614267751513182,0.644988038288371,-0.030189911219443095,0.5502129906160975
HS_grad,-0.35341353804415293,-0.2616700715766222,-0.35589080724124184,-0.38605052059271877,-0.42063295392848105,-0.036585411326310116,0.9054241691203972,0.941427298579543,0.6906693286920631,0.8926349911426005,0.8288997945665113,0.8947203858263565,0.7665586277622817,0.8573839341717896,0.8707710675806989,0.4299060973463759,0.28743605954199614,1.0,0.2255981995579228,0.18003904963357312,0.731553120861328,0.7902863068863653,-0.10262249712535762,0.889525868431073,0.8973753947320718,0.5937217674631622
Post_HS,-0.2173416340403354,-0.3111691439376841,-0.16000175136519523,-0.3135749467332541,0.0877082112641713,-0.48999110772422577,0.5633168735386943,0.42513937848944755,0.8412979191685889,0.5695825000492205,-0.23157289600214376,0.6285421310503485,0.7160261101218846,-0.03396482449277915,0.2764572459501802,0.9025031075719889,-0.7595709889670033,0.2255981995579228,1.0,0.9718235955254863,0.7495890514778657,0.6329059009348078,0.8035551054037041,-0.20181286980622834,0.6047201983649882,-0.04701239037163882
BS_or_more,-0.2044300890455847,-0.2777552056565086,-0.15634516109607124,-0.25807030151467125,0.15149732484251024,-0.48828175829769727,0.4908986640461118,0.34109307901377844,0.8092108291708213,0.4960064329898703,-0.2940855153552559,0.5798094205836432,0.6791109145365752,-0.11922840934798057,0.1602315601112759,0.9155439699410981,-0.8283458166198453,0.18003904963357312,0.9718235955254863,1.0,0.7598743242027464,0.5606135786702874,0.7049561767056013,-0.22993272628462305,0.5364098915465858,-0.12578357795423553
full_time,-0.3208406780076788,-0.26694493978129497,-0.3115745436427183,-0.39812078138879614,-0.1783034769354434,-0.3115965841636697,0.8495896758538208,0.7683104215470461,0.943992223401009,0.848287393557999,0.29937552873819456,0.9172786230297572,0.8982154142238632,0.41707857636955403,0.5957711456797838,0.8456004842484132,-0.3688772809118502,0.731553120861328,0.7495890514778657,0.7598743242027464,1.0,0.8375049231522999,0.30142532798651156,0.40451626382067224,0.877933222838093,0.23447600973827826
part_time,-0.30543053469118614,-0.26357144489263096,-0.2929079616321589,-0.44310439386442657,-0.21574358555193124,-0.32826563931913905,0.9538128182529501,0.9167244037368304,0.9192744907403654,0.96482885209725,0.4510964358965221,0.9196102920658192,0.9514540381503088,0.6966542440308111,0.8639442541052361,0.6876760200845791,-0.04766041335561682,0.7902863068863653,0.6329059009348078,0.5606135786702874,0.8375049231522999,1.0,0.4178324035261678,0.5260495661064654,0.9454669623414745,0.6246081111588204
unemployed,-0.04455843726663207,-0.16758946488476992,0.00786141774329337,-0.16171489876888848,0.19887367687019541,-0.41739364835809606,0.29780623453783256,0.1897454525754177,0.5329691543699365,0.32131945313531024,-0.42542286778432487,0.27302288131917835,0.4494536457602225,-0.1110994870497177,0.17659842979257828,0.6299542949727371,-0.614267751513182,-0.10262249712535762,0.8035551054037041,0.7049561767056013,0.30142532798651156,0.4178324035261678,1.0,-0.46948254682258245,0.3134673951275271,0.03150951654534752
not_in_wrkfrc,-0.258600707114993,-0.14404406646578177,-0.27899366137753134,-0.24054021814914625,-0.4572647287625424,0.18642764795284134,0.6692410141875385,0.7663949421793947,0.3294709972781867,0.6492427945121826,0.9540943488155398,0.6242218716190677,0.46921370247290517,0.8815307414429289,0.7668712731914472,0.010772250641383173,0.644988038288371,0.889525868431073,-0.20181286980622834,-0.22993272628462305,0.40451626382067224,0.5260495661064654,-0.46948254682258245,1.0,0.6396225652905192,0.6513267763399181
civilian,-0.361701123823501,-0.3369973440193236,-0.33712913157000773,-0.43662159811411433,-0.2969336204086117,-0.233046336494578,0.996106577988102,0.9730041918325303,0.9200553026774184,0.9904255802320331,0.5947340494257162,0.9884168043471628,0.9445797723024109,0.7325045665763331,0.8839442959042019,0.6989379073405451,-0.030189911219443095,0.8973753947320718,0.6047201983649882,0.5364098915465858,0.877933222838093,0.9454669623414745,0.3134673951275271,0.6396225652905192,1.0,0.5389527981821822
veteran,-0.04558497205080629,0.08149243050376694,-0.09105420723407832,-0.14766578512071896,-0.23854600081297192,0.06924667943455654,0.6111115037122867,0.6814663653717118,0.34643123616589383,0.6311556362856234,0.5779829747010656,0.4517750233590399,0.5485629275074486,0.8578616900841148,0.8114894665909341,0.08092315784816492,0.5502129906160975,0.5937217674631622,-0.04701239037163882,-0.12578357795423553,0.23447600973827826,0.6246081111588204,0.03150951654534752,0.6513267763399181,0.5389527981821822,1.0
